Page,Titre,Prix,URL,Année,Boite,Carburant,Couleur du véhicule,Cylindrée,Etat du véhicule,Kilométrage,Marque,Modèle,Puissance fiscale,Type de carrosserie
1,E300 kit AMG,1234DT,https://www.tayara.tn/item/687e83d4d5464a896cb29753/Voitures/Sousse/Sousse_Jawhara/E300_kit_AMG/,2021,Automatique,Hybride essence,Noir,2.0L,Avec kilométrage,44000,Mercedes-Benz,Classe E,12,Berline
1,AUDI A7 NEUF,280000DT,https://www.tayara.tn/item/68d25e0b516f1ddb82e10929/Voitures/Ariana/Cit_Ennasr_2/AUDI_A7_NEUF/,2019,Automatique,Essence,Noir,3.0L,Nouveau,22000,Audi,A7,23,Berline
1,Mercedes GLA 220d,145000DT,https://www.tayara.tn/item/68be16c8985e647fd0ea19bf/Voitures/Tunis/L_Aouina/Mercedes_GLA_220d/,2017,Automatique,Diesel,Gris,2.2L,RS,68000,Mercedes-Benz,Classe GLA,9,
1,Renault megane 4 sedan,53000DT,https://www.tayara.tn/item/6817d294c1f8f57898e9fd20/Voitures/Ariana/Ariana/_Renault_megane_4_sedan/,2021,Manuelle,Essence,Noir,1.2L,Avec kilométrage,60000,Renault,Megane,7,Berline
1,Ford Ecosport,52000DT,https://www.tayara.tn/item/6894c54bfde7ee723b46e0a2/Voitures/Ben_Arous/Boumhel/Ford_Ecosport/,2020,Manuelle,Essence,Bleu,<1.0L,Nouveau,62000,Ford,ECOSPORT,6,Compacte
1,Seat Arona,72500DT,https://www.tayara.tn/item/6894c2d7fde7ee723b46de5f/Voitures/Ben_Arous/Boumhel/Seat_Arona/,2023,Automatique,Essence,Bleu,<1.0L,Nouveau,102000,Seat,Arosa,6,Compacte
1,Grand I10 boite automatique,N/A,https://www.tayara.tn/item/68d3ca30516f1ddb82e1f175/Voitures/Nabeul/Dar_Chabane_El_Fehri/Grand_I10_boite_automatique/,,,Essence,Rouge,,,,Hyundai,Grand i10,4,
1,BMW F30 316i Sport Essence,55000DT,https://www.tayara.tn/item/6874dc29d5464a896cab9419/Voitures/Ariana/Ariana/BMW_F30_316i_Sport_Essence/,2013,Automatique,Essence,Gris,1.6L,Avec kilométrage,156000,BMW,Serie 3,7,Berline
1,GLA250e kit AMG,1234DT,https://www.tayara.tn/item/68d033e5516f1ddb82dfc506/Voitures/Sousse/Sousse_Jawhara/GLA250e_kit_AMG/,2021,Automatique,Hybride essence,Rouge,1.4L,Avec kilométrage,82000,Mercedes-Benz,Classe GLA,8,Berline
1,TIGGO 7 PRO: une vraie occasion en toutes options,69500DT,https://www.tayara.tn/item/687e87d9d5464a896cb29aaf/Voitures/Tunis/El_Manar_2/TIGGO_7_PRO_une_vraie_occasion_en_toutes_options/,2023,Automatique,Essence,Noir,,,67000,Chery,Tiggo,9,Autres
1,I20 1.2 françaises,58500DT,https://www.tayara.tn/item/68ce8cfc07c7711d7c71294b/Voitures/Mdenine/Djerba_Ajim/I20_12_franaises_/,2021,Manuelle,Essence,Blanc,1.2L,Nouveau,113000,Hyundai,I 20,4,Compacte
1,Renault Scénic 4 nouveau importé de France boîte automatique diesel appeler le 29746445,N/A,https://www.tayara.tn/item/68d1132a27f4444694115536/Voitures/La_Manouba/Douar_Hicher/Renault_Scnic_4_nouveau_import_de_France_bote_automatique_diesel_appeler_le_29746445/,2020,Automatique,Diesel,Gris,1.7L,Nouveau,180,Renault,Scenic,1.7,Monospace
1,Belle Ford Focus Sedan,85000DT,https://www.tayara.tn/item/68d31455516f1ddb82e1a82d/Voitures/Tunis/La_Marsa/Belle_Ford_Focus_Sedan/,2023,Automatique,Essence,Blanc,1.5L,Avec kilométrage,33000,Ford,Focus,7,Berline
1,📢 À VENDRE – Mercedes-Benz E180 AMG Line -,123456DT,https://www.tayara.tn/item/68d29da9516f1ddb82e145b3/Voitures/Monastir/Tboulba/_VENDRE_MercedesBenz_E180_AMG_Line_/,2017,Automatique,Essence,Noir,1.6L,Avec kilométrage,180000,Mercedes-Benz,Classe E,9,Berline
1,Vente peugeot 2008,52000DT,https://www.tayara.tn/item/68c49e47e33e2deec93065d6/Voitures/Tunis/El_Manar_2/Vente_peugeot_2008/,2019,Automatique,Essence,Gris,1.2L,Nouveau,30000,Peugeot,2008,06,Autres
1,Mercedes C250 kit AMG Line,78000DT,https://www.tayara.tn/item/68a732e03398639ecd914377/Voitures/Mahdia/Mahdia/Mercedes_C250_kit_AMG_Line_/,2015,Automatique,Essence,Gris,2.0L,Avec kilométrage,217000,Mercedes-Benz,Classe C Coupe,12,Berline
1,Hyundai i30,77DT,https://www.tayara.tn/item/68d84b5707c7711d7c774548/Voitures/Tunis/Tunis/Hyundai_i30/,2020,Manuelle,Diesel,Blanc,1.6L,Avec kilométrage,94000,Hyundai,I 30,6,Berline
1,Voiture,50000DT,https://www.tayara.tn/item/68d849b107c7711d7c7743dd/Voitures/Kasserine/Kasserine/Voiture_/,2022,Manuelle,Essence,Rouge,3.0L,Avec kilométrage,70000,Opel,Corsa,,Autres
1,Hyundai IX35 importée 🇩🇪,N/A,https://www.tayara.tn/item/68d8492d07c7711d7c77437c/Voitures/Tunis/Tunis/Hyundai_IX35_importe_/,2012,Manuelle,Diesel,Noir,1.7L,Avec kilométrage,224000,Hyundai,Ix 35,8,4 x 4
